datetime,open,high,low,close,volume,ret,ma_40,ma_100,signal,position,turnover,cost,strategy_ret,equity,buy_hold
2020-12-08 00:00:00+00:00,1.8301,1.8301,1.81,1.8254,37831.24,-0.0009851138353765831,1.8471474999999997,1.91323,-1,-1.0,0.0,0.0,0.0009851138353765831,0.47738143224018004,1.1230154339527743
2020-12-08 01:00:00+00:00,1.8249,1.8257,1.81,1.8169,20661.81,-0.00465651364084585,1.84591,1.9103060000000003,-1,-1.0,0.0,0.0,0.00465651364084585,0.4820379458810259,1.1183589203119282
2020-12-08 02:00:00+00:00,1.817,1.8195,1.811,1.8146,18224.67,-0.0012658924541801841,1.8445775000000002,1.907321,-1,-1.0,0.0,0.0,0.0012658924541801841,0.48330383833520607,1.1170930278577482
2020-12-08 03:00:00+00:00,1.8139,1.8142,1.7737,1.7916,156809.18,-0.012674969690289806,1.8424475,1.9042700000000001,-1,-1.0,0.0,0.0,0.012674969690289806,0.4959788080254959,1.1044180581674583
2020-12-08 04:00:00+00:00,1.7911,1.7916,1.781,1.7894,50660.7,-0.001227952668006238,1.8409325000000003,1.9011290000000003,-1,-1.0,0.0,0.0,0.001227952668006238,0.4972067606935021,1.103190105499452
2020-12-08 05:00:00+00:00,1.7894,1.8127,1.7868,1.8127,46364.91,0.01302112439923997,1.840595,1.898447,-1,-1.0,0.0,0.0,-0.01302112439923997,0.48418563629426215,1.116211229898692
2020-12-08 06:00:00+00:00,1.8116,1.8139,1.7927,1.799,31190.21,-0.00755778672698193,1.8394275,1.895993,-1,-1.0,0.0,0.0,0.00755778672698193,0.4917434230212441,1.10865344317171
2020-12-08 07:00:00+00:00,1.7985,1.8028,1.791,1.7942,68860.85,-0.0026681489716509077,1.8382025,1.8938260000000002,-1,-1.0,0.0,0.0,0.0026681489716509077,0.494411571992895,1.1059852942000592
2020-12-08 08:00:00+00:00,1.7918,1.7948,1.7102,1.7331,363979.52,-0.034054174562479056,1.8355474999999999,1.8906629999999998,-1,-1.0,0.0,0.0,0.034054174562479056,0.528465746555374,1.07193111963758
2020-12-08 09:00:00+00:00,1.732,1.7505,1.6659,1.6718,301344.85,-0.035370145981189816,1.8312925,1.886792,-1,-1.0,0.0,0.0,0.035370145981189816,0.5638358925365639,1.0365609736563903
2020-12-08 10:00:00+00:00,1.673,1.6912,1.6475,1.6803,157180.19,0.005084340232085038,1.8272499999999998,1.882979,-1,-1.0,0.0,0.0,-0.005084340232085038,0.5587515523044788,1.0416453138884754
2020-12-08 11:00:00+00:00,1.6839,1.6921,1.6678,1.6792,92823.15,-0.0006546450038682483,1.8230025,1.879367,-1,-1.0,0.0,0.0,0.0006546450038682483,0.5594061973083471,1.0409906688846071
2020-12-08 12:00:00+00:00,1.6762,1.6948,1.6551,1.68,149957.85,0.0004764173415912065,1.8186774999999997,1.8754999999999997,-1,-1.0,0.0,0.0,-0.0004764173415912065,0.5589297799667559,1.0414670862261983
2020-12-08 13:00:00+00:00,1.681,1.7149,1.681,1.71,94773.9,0.017857142857142794,1.8151050000000002,1.8719379999999999,-1,-1.0,0.0,0.0,-0.017857142857142794,0.5410726371096131,1.0593242290833411
2020-12-08 14:00:00+00:00,1.7098,1.7144,1.6993,1.7034,70395.47,-0.0038596491228070073,1.8114225000000002,1.8691300000000002,-1,-1.0,0.0,0.0,0.0038596491228070073,0.5449322862324201,1.055464579960534
2020-12-08 15:00:00+00:00,1.7033,1.7091,1.6971,1.7081,43683.1,0.0027591875073382788,1.8078625000000001,1.866704,-1,-1.0,0.0,0.0,-0.0027591875073382788,0.5421730987250818,1.0582237674678723
2020-12-08 16:00:00+00:00,1.7062,1.7532,1.6976,1.729,85054.9,0.012235817575083408,1.8047925000000002,1.86411,-1,-1.0,0.0,0.0,-0.012235817575083408,0.5299372811499984,1.070459585042956
2020-12-08 17:00:00+00:00,1.7284,1.761,1.7248,1.7576,65257.23,0.016541353383458635,1.80257,1.8619809999999999,-1,-1.0,0.0,0.0,-0.016541353383458635,0.5133959277665398,1.0870009384264145
2020-12-08 18:00:00+00:00,1.7576,1.7623,1.7338,1.7342,39690.11,-0.013313609467455634,1.7998900000000002,1.8594840000000001,-1,-1.0,0.0,0.0,0.013313609467455634,0.5267095372339954,1.0736873289589588
2020-12-08 19:00:00+00:00,1.7328,1.755,1.7286,1.7361,42426.58,0.0010956060431321912,1.797295,1.857186,-1,-1.0,0.0,0.0,-0.0010956060431321912,0.5256139311908632,1.074782935002091
