method,lookback,q,fee_bps,period,ann_return,ann_vol,sharpe,max_drawdown,total_return,hit_rate,avg_abs_position,turnover_per_bar,ic,horizon
linear,288,0.75,2.0,test,-0.010747575850817058,0.29882028941518857,-0.03596668710766189,-0.3282154609584409,-0.013408705076896732,0.24302314941897704,0.5038887363894227,0.18702534541129107,0.11370194659342937,1h
linear,576,0.75,2.0,train,0.43002451151190635,0.47656297564281147,0.9023456153551758,-0.6822600308431488,1.609499276134878,0.24049165827919602,0.5063897276359532,0.18531735138927014,0.10455607376736066,1h
linear,576,0.75,2.0,valid,-0.33205292025365646,0.38852881670054357,-0.8546416790227027,-0.648567232138154,-0.41427013304246474,0.2441211455759905,0.5080977216579742,0.18830634092780676,0.10959302525573543,1h
linear,576,0.75,2.0,test,-0.05819418371294555,0.2972464342309434,-0.1957775670665641,-0.42754662367389273,-0.0726032230363951,0.24091865678470126,0.5000457498398756,0.18354835758074847,0.11370194659342937,1h
linear,1152,0.75,2.0,train,0.24600592214828582,0.47127719104405724,0.5219983627964037,-0.7550916680290389,0.9207529873831999,0.24320614877847926,0.5091957178149876,0.1804983682557111,0.10455607376736066,1h
linear,1152,0.75,2.0,valid,-0.3366114705894697,0.3927920784160841,-0.8569711282030938,-0.6505140428453697,-0.4199573929306053,0.2419251532619636,0.5047122335071828,0.18007136975020588,0.10959302525573543,1h
linear,1152,0.75,2.0,test,0.05892590997695899,0.30421817688521446,0.19369621690683037,-0.43442786657120114,0.07351612672809904,0.24174215390246134,0.5020587427944002,0.1793393723121969,0.11370194659342937,1h
linear,-1,0.8,2.0,train,0.40047487709990737,0.4215162108778528,0.9500817922657717,-0.5645830504251026,1.49890066158392,0.19175282886509898,0.40003659987190043,0.14090950681672615,0.10455607376736066,1h
linear,-1,0.8,2.0,valid,-0.17573423099635413,0.3474898184227344,-0.5057248347419688,-0.5326935642948887,-0.21924650805470058,0.1853783511757709,0.38466465367371216,0.15664745173391892,0.10959302525573543,1h
linear,-1,0.8,2.0,test,-0.12553386293845106,0.2852223593414819,-0.4401263043622604,-0.4450227835770796,-0.15661639133040173,0.19169182907859822,0.40351358770244306,0.15134047030835393,0.11370194659342937,1h
linear,288,0.8,2.0,train,0.14033493251639012,0.4369927194384129,0.3211379189491693,-0.850099940262738,0.5252467388602304,0.19355232256687102,0.4113215603745387,0.17537438618964835,0.10455607376736066,1h
linear,288,0.8,2.0,valid,-0.3451009707080842,0.35010915244703544,-0.9856953704182044,-0.6403082881852316,-0.4305489165375037,0.19452831915088298,0.4111995608015372,0.1731173940891207,0.10959302525573543,1h
linear,288,0.8,2.0,test,-0.08211394589122535,0.26560491824659194,-0.30915822806786064,-0.3909716627295554,-0.10244558386361224,0.19489431786988745,0.4113825601610394,0.16726141458504895,0.11370194659342937,1h
linear,576,0.8,2.0,train,0.27469858697001615,0.4327363267783892,0.6347943770172395,-0.5363185751459516,1.0281441291080586,0.19477231829688596,0.4107115625095312,0.16762741330405342,0.10455607376736066,1h
linear,576,0.8,2.0,valid,-0.2911674138281194,0.3561954870076941,-0.8174371221660929,-0.6917116598231771,-0.36326126321089436,0.1973648092231677,0.4108335620825327,0.1648824229115198,0.10959302525573543,1h
linear,576,0.8,2.0,test,-0.2822517056898849,0.26601573331502665,-1.06103388011126,-0.5436909581906164,-0.35213800131102846,0.18794034220880226,0.398938603714887,0.15939244212645257,0.11370194659342937,1h
linear,1152,0.8,2.0,train,0.3617193665429764,0.4302720515087937,0.8406759520507311,-0.3844627449795075,1.353846218132996,0.19605331381340166,0.4113215603745387,0.16146643486747797,0.10455607376736066,1h
linear,1152,0.8,2.0,valid,-0.3504185769073196,0.3588259443659872,-0.9765697893625762,-0.7112675135398498,-0.4371831766004516,0.19535181626864306,0.40552658065696773,0.1636014273950041,0.10959302525573543,1h
