method,horizon,split,calendar,n_periods,mean_period_return,std_period_return,win_rate,total_return
tree,1d,valid,month,16,-0.003948884966456699,0.07040122709170739,0.25,-0.09351664285056449
tree,1d,valid,quarter,6,-0.015288293432009714,0.047351265317588515,0.3333333333333333,-0.09351664285056571
tree,1d,valid,year,3,-0.03184588799973057,0.03196029722714837,0.0,-0.09351664285056527
tree,1d,test,month,16,-0.013861456820586024,0.02500819694593677,0.0625,-0.20405499236232771
tree,1d,test,quarter,6,-0.03689095763118775,0.031869354595281826,0.16666666666666666,-0.20405499236232705
tree,1d,test,year,2,-0.1078017286167674,0.01206215748182378,0.0,-0.20405499236232982
equal_weight,1w,train,month,46,0.005274636607635243,0.07729518922900294,0.5434782608695652,0.11861862900104447
equal_weight,1w,train,quarter,16,0.02129963461700935,0.17903872700566192,0.4375,0.11861862900104048
equal_weight,1w,train,year,4,0.08278657579632506,0.40811919141723124,0.5,0.11861862900104425
equal_weight,1w,valid,month,16,-0.0009444258205991152,0.041491355560615666,0.5625,-0.027448096284347523
equal_weight,1w,valid,quarter,6,-0.004163726677891315,0.03315845322031086,0.6666666666666666,-0.027448096284340973
equal_weight,1w,valid,year,3,-0.009113778241348514,0.018866092419837506,0.6666666666666666,-0.027448096284343637
equal_weight,1w,test,month,16,0.023561589221700867,0.06197702562555403,0.4375,0.4137060924167799
equal_weight,1w,test,quarter,6,0.06365137352294542,0.10704876488263343,0.8333333333333334,0.41370609241677636
equal_weight,1w,test,year,2,0.20506125976584733,0.2773681574069852,1.0,0.4137060924167779
ic_weight,1w,train,month,46,0.007256218657435881,0.06399802885082678,0.43478260869565216,0.27475139668864945
ic_weight,1w,train,quarter,16,0.02124154086300932,0.11621119604212539,0.5625,0.274751396688659
ic_weight,1w,train,year,4,0.06954243098939153,0.13789608425182517,0.75,0.27475139668865634
ic_weight,1w,valid,month,16,-0.00752198047964716,0.03919727526298246,0.3125,-0.12406515430166154
ic_weight,1w,valid,quarter,6,-0.020160843446195047,0.06211232345847439,0.16666666666666666,-0.12406515430166065
ic_weight,1w,valid,year,3,-0.04139087783547483,0.0709375436508162,0.0,-0.12406515430166232
ic_weight,1w,test,month,16,0.012565872536786309,0.048493235740797086,0.3125,0.20088731956511996
ic_weight,1w,test,quarter,6,0.03477124056146871,0.0982488091674616,0.5,0.20088731956511885
ic_weight,1w,test,year,2,0.11355183893995441,0.2796797398505452,0.5,0.20088731956511996
linear,1w,train,month,46,0.00016926342632945162,0.07325730921582628,0.32608695652173914,-0.1047743668680694
linear,1w,train,quarter,16,0.0015134165443926526,0.1330207756807223,0.5,-0.10477436686806973
linear,1w,train,year,4,0.015895229680654266,0.3473402123024423,0.5,-0.10477436686806962
